Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2000-01-03,16.694,16.756,15.949,16.166,7069196,-3.1628,0.3807,-0.9301,0.029885613737703966,47.54281938000083,0.054416748503641504,-0.3325868780679877,3,1,0
2000-01-04,15.639,16.337,14.878,14.909,7146571,-4.6678,-0.9585,-1.2049,0.03791966922042977,45.99586965766437,0.06178010900428452,-0.32064318726060825,4,1,1
2000-01-05,14.459,15.577,14.459,15.196,13916859,5.0972,-0.0731,-0.819,0.03787802583514211,55.99971908753945,0.06153891713460033,-0.26460576977997075,5,1,2
2000-01-06,15.251,15.546,15.049,15.328,9522537,0.5049,-0.0481,-0.7209,0.03244468886174462,51.19659370757778,0.05896720288783378,-0.31767220392992224,6,1,3
2000-01-07,15.311,16.073,15.14,16.073,7754768,4.9768,0.5497,0.0049,0.036857840345015325,55.224037777089656,0.0563635587464395,-0.25743741388763847,7,1,4
2000-01-10,16.228,16.694,15.794,16.678,10529276,2.773,1.7368,0.479,0.03721070170291496,52.90687638844544,0.054293548543460954,-0.18249676517700308,10,1,0
2000-01-11,16.678,16.694,15.483,15.514,8718868,-6.9793,1.2745,0.1993,0.04361634982907364,44.090456284986416,0.05977366725861408,-0.17262309582313604,11,1,1
2000-01-12,15.577,15.732,15.328,15.437,7471239,-0.8988,0.0753,-0.208,0.04359853065285863,49.71672690575153,0.05765032417499608,-0.16095186459062863,12,1,2
2000-01-13,15.629,16.383,15.613,16.313,5127398,4.3765,0.8496,0.3116,0.0477193805316081,54.03813122103376,0.05479996105543515,-0.16266740913769856,13,1,3
2000-01-14,16.538,16.725,16.29,16.445,5037637,-0.5623,-0.2582,0.466,0.04726483407922446,49.72917961224854,0.05236664614109837,-0.14839901553022838,14,1,4
2000-01-18,16.151,16.352,15.887,15.887,4872867,-1.6346,-1.1397,0.2044,0.04730505553251612,48.81897403294165,0.05284286094324522,-0.0260534523431449,18,1,1
2000-01-19,15.817,15.98,15.515,15.67,4423291,-0.9294,0.0703,0.0901,0.03881495681583764,49.47394830620923,0.051867485246920315,0.008834706024421272,19,1,2
2000-01-20,15.794,16.042,15.266,15.856,4063936,0.3926,0.3286,0.091,0.0385892394129184,50.74644502506165,0.051093436552409804,0.04101283801751736,20,1,3
2000-01-21,16.011,16.104,15.39,15.608,5805459,-2.517,-1.0501,-0.2308,0.03904963271323821,47.88784670193239,0.051465310324719585,-0.030045419857480764,21,1,4
2000-01-24,15.693,15.763,14.954,15.125,5487665,-3.6194,-1.6616,-0.2634,0.03670117656782002,46.8118912312981,0.05313585514109518,-0.04317280289421348,24,1,0
2000-01-25,14.933,15.732,14.615,15.623,7148551,4.6206,-0.4105,0.4001,0.03613171921083647,54.95814519928377,0.0528745965980461,0.02566365975393849,25,1,1
2000-01-26,15.67,15.949,15.127,15.189,3840365,-3.0696,-0.8386,-0.1833,0.029233202648923675,47.62670875102625,0.0543663068878162,-0.012310891052923784,26,1,2
2000-01-27,15.096,15.887,15.096,15.545,5411889,2.9743,-0.3222,-0.0069,0.03026395439059625,52.94010582326801,0.052961484442161116,-0.005444391139917101,27,1,3
2000-01-28,15.189,15.359,14.056,14.289,5174596,-5.9253,-1.0039,-0.7856,0.034228855039849036,45.603452047398896,0.06094459066161847,-0.023501175515104552,28,1,4
2000-01-31,14.18,14.428,13.265,13.653,15566872,-3.7165,-1.0233,-1.2492,0.034714079579407614,47.54639112382814,0.06531209429392944,-0.07290127799623093,31,1,0
2000-02-01,13.87,14.118,13.684,13.87,6660299,0.0,-1.9474,-0.7506,0.035778794429079296,50.73491384785923,0.06209279176091896,-0.05699003577317529,1,2,1
2000-02-02,13.885,15.297,13.808,15.22,11942858,9.6147,0.5894,0.0003,0.049122937995220724,57.86989694243788,0.05953140267698187,0.0630545363469496,2,2,2
2000-02-03,15.84,17.159,15.732,17.144,18236964,8.2323,1.641,0.2757,0.06255956041468537,56.60061665495121,0.057154036954484844,0.1491141354401124,3,2,3
2000-02-04,17.058,18.493,16.632,18.338,12555612,7.5038,4.3269,0.8519,0.0645664195154428,55.90473730077389,0.056864880591901056,0.2058623529890904,4,2,4
2000-02-07,18.307,19.222,17.935,19.098,11845791,4.3208,5.9343,1.2773,0.062662000370598,52.84750098102515,0.05551533572635004,0.2119040481877111,7,2,0
2000-02-08,19.253,20.85,19.052,20.79,13330690,7.9832,7.531,1.9139,0.06563462658505663,55.83993074121389,0.05353196750540724,0.2223048990709692,8,2,1
2000-02-09,20.82,21.78,20.57,21.72,14459479,4.3228,6.4726,2.1946,0.06259599611960304,52.269542803395325,0.05155907937939495,0.3411544131964991,9,2,2
2000-02-10,21.49,22.65,20.98,22.6,12006131,5.1652,5.8592,2.7433,0.06244448251711187,53.01412449659734,0.05129020750178872,0.4173391365037745,10,2,3
2000-02-11,22.34,22.65,21.57,22.39,6767069,0.2238,4.4032,3.0179,0.04934591575817272,48.258506387719414,0.05151873592811053,0.4094909480220722,11,2,4
2000-02-14,21.88,22.34,21.12,22.26,6587799,1.7367,3.8863,2.8119,0.04236302200018363,49.744921890423115,0.05219342339428548,0.4465913073167045,14,2,0
2000-02-15,21.95,22.84,21.41,22.06,6269555,0.5011,2.3899,3.0669,0.045150366463945296,48.51899265902587,0.05353494645071343,0.4673090560415487,15,2,1
2000-02-16,21.84,24.51,21.72,24.36,10666254,11.5385,3.8331,3.6786,0.04590782442183546,58.38497571632104,0.053198310881819144,0.5112435461506089,16,2,2
2000-02-17,24.57,25.35,23.86,25.29,9759017,2.9304,3.3861,4.3112,0.03831044375765012,50.29024693216418,0.05179020812871967,0.5320627805868696,17,2,3
2000-02-18,25.47,25.49,24.08,24.3,5005820,-4.5936,2.4226,4.2485,0.04404556369888856,44.484760413655856,0.05419478755578826,0.5280469897963425,18,2,4
2000-02-22,24.28,24.73,22.45,24.42,6950761,0.5766,2.1906,4.2897,0.04436832257268537,48.85403621420079,0.05674544690790193,0.5672498259695814,22,2,1
2000-02-23,24.2,26.06,23.69,24.71,6632521,2.1074,2.5119,3.7535,0.039028721213900164,50.10613946567835,0.058924696697064655,0.5335903872639596,23,2,2
2000-02-24,25.1,26.47,24.08,26.41,6377913,5.2191,1.248,3.5383,0.04134188233708575,52.643999921959306,0.05765776037214821,0.575028393293455,24,2,3
2000-02-25,25.69,25.92,24.33,24.39,3925774,-5.0603,-0.3502,2.6408,0.05096585140096446,44.577406665899915,0.06406501162235591,0.5566403153827834,25,2,4
2000-02-28,24.21,24.73,23.58,24.25,6302982,0.1652,0.6016,2.344,0.05084596531038576,48.86673756753996,0.06321971497820439,0.5761202580130683,28,2,0
2000-02-29,24.82,25.57,24.61,25.3,6207105,1.9339,0.8731,1.9119,0.05167067719880792,50.269664661947445,0.0599943962362477,0.6489350153170297,29,2,1
2000-03-01,25.37,25.38,24.51,24.89,4944180,-1.892,0.0732,1.468,0.05206416480571136,47.24974629859211,0.05912344866584935,0.6569007216564333,1,3,2
2000-03-02,23.89,23.89,19.859,20.01,22691318,-16.2411,-4.2189,-0.061,0.08149543506228553,38.02363689770974,0.08624821262514767,0.4545245584325184,2,3,3
2000-03-03,20.9,22.77,20.61,22.53,17218089,7.799,-1.647,0.4801,0.09127097649834212,54.16974026883387,0.07987999350129879,0.433534877127651,3,3,4
2000-03-06,22.25,22.25,20.94,21.38,6423020,-3.9101,-2.4621,0.0767,0.09178496787607032,47.657309885039986,0.08347605003539825,0.37976423498461215,6,3,0
2000-03-07,21.8,21.81,20.0,20.17,5658825,-7.4771,-4.3443,-0.4932,0.09260020243552909,45.848969436651394,0.0885733173271428,0.3134878855489483,7,3,1
2000-03-08,20.25,20.26,19.486,19.626,7772157,-3.0815,-4.5822,-1.5374,0.09197287073094955,48.44506488569601,0.08734335479302278,0.22277732659272234,8,3,2
2000-03-09,19.765,20.2,19.114,19.393,8870722,-1.8821,-1.7104,-1.8812,0.08667657644273913,49.16127287485096,0.086078956527695,0.1264317935758972,9,3,3
2000-03-10,19.734,21.27,19.719,20.62,13938181,4.4897,-2.3722,-1.2324,0.08929730946741754,52.904379625877105,0.0816761800306244,0.0715351006655426,10,3,4
2000-03-13,20.04,21.01,19.98,20.37,5743414,1.6467,-1.2609,-1.1559,0.0892320749818925,51.09666646449916,0.08038472830846896,0.04277780423413338,13,3,0
2000-03-14,21.72,22.06,19.859,20.18,11995225,-7.0902,-1.1835,-1.8129,0.08684570881651475,45.905469405006116,0.08313634398756076,-0.040587050845874245,14,3,1
2000-03-15,20.6,21.46,19.859,20.67,9029058,0.3398,-0.4992,-2.1614,0.08809678913896825,50.510224754207975,0.08090050619150144,-0.03604226983719953,15,3,2
2000-03-16,20.99,23.52,19.362,23.47,20111079,11.8152,2.2402,-0.956,0.06605569370522076,56.64818648922448,0.07881421577307916,0.020266389842343996,16,3,3
2000-03-17,22.09,22.68,21.33,21.75,17017549,-1.5392,1.0345,-1.0778,0.0609305054103191,49.027567138084244,0.08600001765032574,-0.060375448698092506,17,3,4
2000-03-20,21.89,22.33,21.25,21.67,7766532,-1.005,0.5041,-1.2877,0.05848779825398337,49.32126057970446,0.08371186297919968,-0.05073981106803075,20,3,0
2000-03-21,21.74,22.85,21.13,22.74,9952833,4.5998,2.8421,-0.824,0.05607138182131561,52.41892291080678,0.07947753775559226,-0.03174742547167499,21,3,1
2000-03-22,23.53,25.32,22.82,25.32,16141385,7.6073,4.2956,0.8794,0.06150623737424348,54.04221820280337,0.07355887415738034,0.051711676124701164,22,3,2
2000-03-23,24.97,27.2,24.58,26.47,11571476,6.0072,3.134,0.7515,0.06026638098093182,53.006086004921144,0.07240714290475286,0.04607121808193091,23,3,3
2000-03-24,26.23,27.31,26.16,26.86,7429590,2.4018,3.9222,1.2023,0.05946738098664395,50.64968207061181,0.06931715228421047,0.06951932992129818,24,3,4
2000-03-27,27.03,28.48,26.82,28.21,6421897,4.3655,4.9963,2.0482,0.058185897853866714,51.90380776611182,0.06548884193700463,0.08465608424115476,27,3,0
2000-03-28,28.0,28.65,27.31,27.59,6579377,-1.4643,3.7835,2.1637,0.059345383255801784,48.00359687806103,0.06564677420275905,0.05438622952029554,28,3,1
2000-03-29,27.56,28.21,26.78,27.72,5307895,0.5806,2.3782,2.3396,0.05991924129776915,49.438787067248704,0.06435664941069777,0.06484232987052575,29,3,2
2000-03-30,27.19,28.8,26.63,26.63,6006273,-2.0596,0.7648,1.8718,0.05249338457014892,47.611537789929265,0.06802629199516938,0.14479533752372578,30,3,3
2000-03-31,26.88,28.55,26.49,27.59,6829480,2.6414,0.8127,1.9429,0.04242691848287221,51.07863982388474,0.06630254757367496,0.08485029300262176,31,3,4
2000-04-03,28.08,28.43,25.57,26.21,9544832,-6.6595,-1.3923,1.9736,0.04814154147338215,44.7661572099501,0.07260242747656291,0.06714351667508357,3,4,0
2000-04-04,26.92,27.06,21.91,25.28,19322806,-6.0921,-2.3178,1.5142,0.04981921202095371,45.210996676301974,0.08444796878980923,0.11365421602066669,4,4,1
2000-04-05,25.08,27.44,24.58,26.6,9056699,6.0606,-1.2218,1.1032,0.03980028154715219,53.79442124710973,0.0822045662273977,0.15464042142606813,5,4,2
2000-04-06,27.16,28.46,26.85,28.46,10186405,4.7865,0.1474,1.555,0.04290766739925204,52.85943518873324,0.07601229545586317,0.22273115357035228,6,4,3
2000-04-07,28.79,31.04,28.71,30.96,10558149,7.5373,1.1266,2.1652,0.04938750505400963,54.69047419466607,0.07083570753220805,0.2630576999337318,7,4,4
2000-04-10,30.5,30.91,28.8,29.11,5911605,-4.5574,1.547,1.5111,0.05298124215604181,46.19448895173746,0.07525630752211586,0.24939437816215138,10,4,0
2000-04-11,28.49,30.29,27.65,29.69,9154562,4.212,3.6078,1.2686,0.05240754895765975,52.01507057473571,0.07486706552373167,0.31902787270069144,11,4,1
2000-04-12,29.8,30.04,27.31,27.82,10124793,-6.6443,1.0668,0.3649,0.05721873856767041,45.45883481519797,0.08120170812415198,0.28580804552878614,12,4,2
2000-04-13,28.13,29.3,26.82,28.18,10193266,0.1777,0.1451,0.206,0.05548085303119792,49.74545748507276,0.08072444935663795,0.20478189439057495,13,4,3
2000-04-14,27.53,27.54,23.63,24.35,13902585,-11.551,-3.6726,-0.9309,0.07191660778501587,43.42620676310039,0.10009561389648211,0.19584414948308668,14,4,4
2000-04-17,24.36,28.13,24.26,28.12,9115094,15.4351,0.3259,0.2762,0.08544144901646993,56.97042979195613,0.09031514575018139,0.25031479773488247,17,4,0
2000-04-18,28.69,30.2,28.13,29.05,7902412,1.2548,-0.2655,0.3244,0.08433939207223748,50.173081138466785,0.08629359400156457,0.20302543348882485,18,4,1
2000-04-19,28.74,29.11,27.72,27.96,5181835,-2.714,0.5205,0.2776,0.0847045815038887,48.43137327391384,0.08680455695557648,0.10702630432729762,19,4,2
2000-04-20,28.01,28.43,26.45,27.91,6078695,-0.357,0.4136,0.0635,0.08179878240172408,49.55142605089819,0.0858159399145543,0.09759006911465044,20,4,3
2000-04-24,26.74,27.81,24.08,26.02,8604395,-2.6926,2.1853,0.3468,0.07821867749106871,48.42893873957138,0.09598824387613303,0.08972706028481164,24,4,0
2000-04-25,26.52,30.17,25.82,29.81,13580388,12.4057,1.5794,1.6681,0.08989037170573658,55.45397410903038,0.08822299174184302,0.12444033675349074,25,4,1
