Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2000-01-03,20.785,28.135,20.144,24.712,8615199,18.8934,3.7894,-1.7948,0.061251790163566806,61.766935003446264,0.08432427066710244,-0.24079576342937664,3,1,0
2000-01-04,23.23,23.963,21.822,21.822,6107741,-6.0611,2.3436,-1.8949,0.07671687932741246,47.009142535438414,0.09813058216947072,-0.2716746357275334,4,1,1
2000-01-05,21.518,23.841,21.043,21.838,4730528,1.4871,2.5046,-1.5443,0.07666525995306457,50.835587006919006,0.10020629941690262,-0.292773450444744,5,1,2
2000-01-06,21.579,22.129,19.4099,19.5615,5927584,-9.3494,1.2814,-2.0562,0.08492356737526614,45.73020824759427,0.11380615409518754,-0.32866072988202333,6,1,3
2000-01-07,20.555,21.181,19.8683,20.145,5026326,-1.9946,0.5951,-0.3094,0.08526571117191252,49.44146595741666,0.1083585011641639,-0.3270796102501413,7,1,4
2000-01-10,20.797,24.452,20.782,23.487,9828369,12.9346,-0.5967,0.8612,0.09747235646096658,56.01656703390631,0.09939986885564984,-0.3007611343785565,10,1,0
2000-01-11,22.985,26.179,22.802,23.23,6616933,1.0659,0.8287,0.9054,0.09778777323366636,50.40443347368694,0.10370475787947979,-0.3355362050151203,11,1,1
2000-01-12,23.764,23.948,21.698,22.035,4476703,-7.2757,-0.9238,0.4971,0.09995815390640403,46.85166102512965,0.10881325110060004,-0.33693229413046477,12,1,2
2000-01-13,22.74,23.275,21.732,22.693,5101598,-0.2067,0.9047,0.4348,0.09942413094358346,50.063891193615994,0.10296787506538321,-0.32636073462382403,13,1,3
2000-01-14,22.986,23.015,20.57,20.783,4088569,-9.5841,-0.6132,-0.0026,0.10418845604367512,46.08480069016517,0.11280321779188908,-0.37329968928402735,14,1,4
2000-01-18,20.617,20.631,18.8291,19.1494,11922797,-7.1184,-4.6238,-0.5945,0.08413995521282627,47.27151715465972,0.12096970057918562,-0.2584832527383966,18,1,1
2000-01-19,18.9352,19.0572,18.645,18.7059,4489026,-1.211,-5.0792,-0.7297,0.07668567276690294,50.10508037673557,0.11691828092253453,-0.16367041906241644,19,1,2
2000-01-20,20.02,20.02,18.3378,18.7192,5668658,-6.4975,-4.9235,-0.9629,0.07668515428731779,47.63792225820923,0.11490876336448634,-0.32145421229726656,20,1,3
2000-01-21,19.0725,19.317,16.7789,16.8718,6068302,-11.5386,-7.1899,-1.8897,0.07585754077289436,45.34501479327986,0.12912967877609133,-0.3622458101030818,21,1,4
2000-01-24,17.3612,18.3389,17.2683,17.3612,9516813,0.0,-5.2731,-3.2393,0.07580626390157076,51.141757766820426,0.12256209859945473,-0.4368416590872357,24,1,0
2000-01-25,17.9257,19.3781,16.7495,18.5688,5258658,3.5876,-3.1319,-2.5501,0.05712812276533055,52.817364286097146,0.11651774705290247,-0.4000398642854813,25,1,1
2000-01-26,18.4,19.0113,16.5979,17.8645,13500768,-2.9103,-3.4718,-2.8642,0.057125713335341444,49.50572290192662,0.12211021714728394,-0.3646298292726168,26,1,2
2000-01-27,17.8944,18.9655,16.75,17.8041,5146726,-0.5046,-2.2732,-2.2324,0.05671005673182149,50.737234462432575,0.12266112727228763,-0.3645737106919638,27,1,3
2000-01-28,17.9405,19.0266,17.3608,17.3926,6488915,-3.054,-0.5763,-2.3081,0.05384611026492674,49.363251679553564,0.12343559366335996,-0.39144024680754763,28,1,4
2000-01-31,17.7423,20.0505,17.1163,19.9894,5119044,12.6652,1.9568,-2.3273,0.07043823048777058,57.0808587680996,0.11021361601127745,-0.351208261856789,31,1,0
2000-02-01,20.021,20.524,18.3384,20.158,4381209,0.6843,1.3761,-2.3546,0.06490235374595761,50.733989449146925,0.10922977310194386,-0.34972210710678087,1,2,1
2000-02-02,20.233,22.114,19.3165,21.456,5830808,6.0446,3.1671,-1.4031,0.06636427305117865,53.239151245192154,0.1046047690970784,-0.279291826582086,2,2,2
2000-02-03,21.532,22.584,20.525,22.496,3753495,4.4771,4.1634,-1.0686,0.06698384100465164,52.400033157527,0.09918016864810852,-0.23871725412244668,3,2,3
2000-02-04,22.281,22.373,20.892,21.014,2580598,-5.6865,3.6369,-0.7902,0.06035731099922678,47.20482395893209,0.10404302560470584,-0.2201995905100277,4,2,4
2000-02-07,21.123,21.548,19.4697,20.0223,3250248,-5.2109,0.0617,-0.6539,0.0641981926119528,47.467294286376685,0.10881075394058749,-0.21212052324998387,7,2,0
2000-02-08,19.9514,21.655,19.8928,21.54,3367606,7.9623,1.5173,0.0013,0.06475586817273865,54.25147203483513,0.0997630331016054,-0.23871941505405944,8,2,1
2000-02-09,21.686,21.701,19.6838,19.7449,1759808,-8.9509,-1.4818,-0.1739,0.07072491805673678,46.031959002944696,0.1083565323165242,-0.21968944790653594,9,2,2
2000-02-10,20.432,21.029,20.035,21.029,2612685,2.9219,-1.7928,0.859,0.07242376175930854,51.57807173227073,0.09883445185959186,-0.17111297727110064,10,2,3
2000-02-11,20.845,20.952,19.5609,19.9888,2354097,-4.1075,-1.477,0.5656,0.07458721685264554,48.40628772341754,0.10179688463403663,-0.19564739654752236,11,2,4
2000-02-14,20.172,20.631,19.866,20.509,1046381,1.6706,-0.1007,0.4287,0.0607676560441604,51.06987137652842,0.09479241997745523,-0.16209231893267523,14,2,0
2000-02-15,20.022,21.181,19.5015,20.861,2533408,4.1904,-0.8551,0.9359,0.06092049864705996,52.22813511442001,0.09228694226796817,-0.08048808136031047,15,2,1
2000-02-16,20.615,22.129,20.417,20.784,3063057,0.8198,1.099,1.0305,0.05728830498805799,50.50587466869613,0.0918961451613779,-0.06657622828695782,16,2,2
2000-02-17,21.014,21.701,20.62,21.518,2326996,2.3984,0.9943,1.4199,0.05617961730403863,51.31559260925274,0.08600973023728643,-0.017500426347530313,17,2,3
2000-02-18,21.931,23.061,21.244,22.13,5514253,0.9074,1.9973,0.5801,0.052150846563321425,50.475644970635294,0.08352219313858719,0.04376883232492767,18,2,4
2000-02-22,21.701,21.762,19.806,21.058,4871262,-2.963,1.0706,0.3195,0.05230180312350832,48.26704789338137,0.08938747318304595,0.1550627406699205,22,2,1
