Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2010-01-04,22.438,22.72,22.311,22.339,2860387,-0.4412,-0.1263,0.0109,0.008386780448437001,48.073515649971846,0.01632788340965826,0.035444092441760146,4,1,0
2010-01-05,22.353,22.452,22.17,22.304,2859770,-0.2192,0.0379,-0.021,0.007720839669355282,48.926218011341916,0.01608850314276948,0.025134204281925816,5,1,1
2010-01-06,22.381,22.48,22.12,22.261,2979396,-0.5362,-0.0115,0.001,0.007668102675262473,47.7211530865832,0.016123308743838664,0.05435234774707379,6,1,2
2010-01-07,22.205,22.339,21.93,22.071,2870419,-0.6035,-0.4663,-0.0632,0.00797619651223341,47.4539254145129,0.016424178745560434,0.0693942370892312,7,1,3
2010-01-08,22.021,22.24,21.88,22.219,3357612,0.8991,-0.1802,0.0475,0.008258024844405874,53.68932910440519,0.016306747244033214,0.033790901103055083,8,1,4
2010-01-11,22.29,22.297,21.767,22.092,3817261,-0.8883,-0.2696,-0.0182,0.007438936104720443,46.60470073701028,0.016942639291525258,0.042607640830460126,11,1,0
2010-01-12,21.563,21.704,20.963,21.189,9388826,-1.7345,-0.5727,-0.163,0.014708429366603517,43.66693122427339,0.02020879510921733,-0.020959823828523377,12,1,1
2010-01-13,21.139,21.316,20.744,21.16,7467682,0.0993,-0.4456,-0.1695,0.01473997331716646,50.89144729972651,0.020721894661084518,-0.010139009691255392,13,1,2
2010-01-14,21.174,21.21,20.737,21.146,7073057,-0.1322,-0.3513,-0.1926,0.013389549348549877,50.01934572940295,0.020852234071189187,0.08182379451136747,14,1,3
2010-01-15,21.069,21.069,20.419,20.447,8187622,-2.9522,-1.1216,-0.4785,0.016028923458262272,40.83863539762014,0.02256439100986441,0.00344787111713447,15,1,4
2010-01-19,20.49,20.857,20.483,20.786,4714517,1.4446,-0.655,-0.301,0.017582556205830022,54.77597240923669,0.022019846252020827,0.07949333507711619,19,1,1
2010-01-20,20.836,20.836,20.151,20.419,6587137,-2.0013,-0.7084,-0.4233,0.017753501678161872,45.69101200989034,0.023210730952714077,0.02469994413935708,20,1,2
2010-01-21,20.56,20.836,20.313,20.504,6243851,-0.2724,-0.7827,-0.5621,0.01811676673250943,50.15767440173572,0.023285417825111104,0.00613459596322929,21,1,3
2010-01-22,20.539,20.539,19.5229,19.6217,6802573,-4.4661,-1.6495,-0.8432,0.02136292232192213,41.28733163211435,0.026293319175486534,-0.0747704297149471,22,1,4
2010-01-25,19.6711,19.9887,19.6076,19.777,3826184,0.5384,-0.9514,-0.7732,0.021481124561757423,52.160123559225724,0.025599921522307202,-0.09888762503828193,25,1,0
2010-01-26,19.6711,19.7558,19.4452,19.4594,4517374,-1.0762,-1.4555,-0.8344,0.021415854977568014,49.00689546297171,0.025377252210487717,-0.15208544807264995,26,1,1
2010-01-27,19.4805,19.7628,19.3182,19.5511,6735032,0.3624,-0.9828,-0.7702,0.019353251969162145,51.80265419428274,0.025078381858097635,-0.12694757324464476,27,1,2
2010-01-28,19.5229,19.5511,18.7888,19.1629,10620368,-1.844,-1.2971,-0.8588,0.019538298363778,47.50114195183833,0.026600243812247654,-0.11985577657677306,28,1,3
2010-01-29,19.4805,19.7276,18.8876,19.0359,9924360,-2.2823,-0.8603,-1.0861,0.01931372543953848,46.672058939665966,0.028016955774339037,-0.18990802348499633,29,1,4
2010-02-01,19.0923,19.4876,19.0006,19.4029,5619833,1.6268,-0.6427,-0.9064,0.019500085684024487,54.3285345925911,0.027316474744650206,-0.13515050195394784,1,2,0
2010-02-02,19.4523,19.7134,19.3041,19.6146,4105598,0.8343,-0.2606,-0.7229,0.018879455078278515,52.67731477581768,0.02658203860425637,-0.09470348870398221,2,2,1
2010-02-03,19.4946,19.6711,19.3888,19.5088,3112628,0.0728,-0.3185,-0.7248,0.0184039540194512,51.071086314813805,0.02585078348266134,-0.09725095552755302,3,2,2
2010-02-04,19.3676,19.3676,18.7112,18.7182,8331455,-3.353,-0.6203,-0.9549,0.0213960012329819,44.49758294033298,0.02806180593709814,-0.15392197904679528,4,2,3
2010-02-05,18.7041,19.0217,18.6194,18.9723,8262981,1.4339,0.123,-0.6416,0.01851247839966621,53.503346218581434,0.027223013274967327,-0.09210938470283582,5,2,4
2010-02-08,19.0429,19.1629,18.69,18.9229,7824575,-0.6302,-0.3284,-0.7898,0.018096754766721148,49.75446441186128,0.027129567394293286,-0.11217441241910704,8,2,0
2010-02-09,19.2052,19.4523,19.0006,19.1206,6852218,-0.4405,-0.5834,-0.6783,0.018127342543578354,50.10051385723597,0.0269089403238659,-0.13959992713508138,9,2,1
