Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2010-01-04,26.877,26.877,26.356,26.439,5426306,-1.6296,-0.517,-0.2068,0.005110823092786819,42.01849096392843,0.013885033464027172,-0.14089453222667783,4,1,0
2010-01-05,26.328,26.488,26.155,26.303,4314509,-0.095,-0.6432,-0.1674,0.0054910910085571064,50.25088972679028,0.013864206681531127,-0.1160004149789208,5,1,1
2010-01-06,26.353,26.476,25.891,26.168,4397452,-0.702,-0.7836,-0.1941,0.004664503995723931,47.3850219383043,0.01453714724766365,-0.1502162103332651,6,1,2
2010-01-07,26.007,26.235,25.982,26.235,3460507,0.8767,-0.636,-0.095,0.004622792078492885,54.632009847981486,0.014153134850660817,-0.037812542570146004,7,1,3
2010-01-08,26.186,26.211,25.951,26.174,3141967,-0.0458,-0.3191,-0.095,0.0046154971595175,50.27441712967914,0.013947858306749675,-0.07286187573281866,8,1,4
2010-01-11,26.186,26.303,26.007,26.285,3453094,0.3781,0.0824,-0.0495,0.004561550490402422,52.16261964857156,0.013701258629775965,-0.013498380813670247,11,1,0
2010-01-12,26.149,26.322,25.921,26.118,3546664,-0.1186,0.0777,-0.1083,0.004455628441239667,49.777463168054496,0.01390061747259032,0.026673187231088028,12,1,1
2010-01-13,26.316,26.377,25.964,26.309,3530209,-0.0266,0.2128,-0.1319,0.005287200866012596,50.23139568623034,0.013935297136065556,0.09127583492067809,13,1,2
2010-01-14,26.131,26.408,26.082,26.236,3336012,0.4018,0.1178,-0.0832,0.005268479663219816,52.3893539558038,0.013863471458480532,0.11691412591406943,14,1,3
2010-01-15,26.464,26.495,25.81,26.069,3732914,-1.4926,-0.1716,-0.2435,0.004783970169861468,43.423026830548714,0.014832577509688687,0.1621929101204917,15,1,4
2010-01-19,25.945,26.501,25.927,26.488,4176690,2.0929,0.1714,-0.1323,0.007295747679372981,58.055288857517105,0.01510310874007898,0.2508005351587012,19,1,1
2010-01-20,26.174,26.359,25.698,26.137,5696008,-0.1414,0.1668,-0.1424,0.008344934542542582,49.46940702359516,0.0163716047748232,0.2249825269040202,20,1,2
2010-01-21,26.1,26.476,25.939,26.019,6117635,-0.3103,0.1101,-0.1745,0.008309868750212144,48.88089530360145,0.01674534609871413,0.13057353907192432,21,1,3
