Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2010-01-04,6.81,6.8305,6.657,6.69,148150660,-1.7621,-1.2666,-0.4693,0.01921023244454537,46.53168764420767,0.028569350865353477,-0.20719850481051172,4,1,0
2010-01-05,6.67,6.774,6.5905,6.73,174722297,0.8996,-1.0094,-0.3511,0.019157601682361258,52.87827757562731,0.028318578271702314,-0.14955840800824077,5,1,1
2010-01-06,6.73,6.74,6.58,6.61,140882380,-1.7831,-1.111,-0.4561,0.017059822062517813,46.84313415964389,0.02850218730269328,-0.13704760103286884,6,1,2
2010-01-07,6.6,6.616,6.44,6.5,217405400,-1.5152,-1.1825,-0.4225,0.017523686300011408,47.48768436651492,0.028848274229894867,-0.1483330663545603,7,1,3
2010-01-08,6.53,6.683,6.45,6.68,194372360,2.2971,-0.3727,-0.126,0.014840446137918387,55.71651646894977,0.028557305094376775,-0.06019224550251054,8,1,4
2010-01-11,6.633,6.64,6.46,6.52,173866040,-1.7036,-0.361,-0.27,0.016179835310532593,47.3338454835585,0.029578400245351435,-0.1177465464645545,11,1,0
2010-01-12,6.47,6.49,6.33,6.38,178552140,-1.391,-0.8192,-0.5009,0.01617842319920203,47.99226706714513,0.03019553520819511,-0.12304779850853483,12,1,1
2010-01-13,6.4,6.485,6.29,6.456,211140600,0.875,-0.2875,-0.4469,0.017204976371733148,52.616650364705805,0.02986610119233164,-0.09271324747530352,13,1,2
2010-01-14,6.46,6.519,6.32,6.37,193979420,-1.3932,-0.2631,-0.769,0.01677601333627855,48.014464882861795,0.03033866495705326,-0.09531489725677426,14,1,3
2010-01-15,6.46,6.483,6.35,6.36,293509000,-1.548,-1.0322,-0.8282,0.016614043718783944,47.70777154255295,0.029709623147951263,-0.12781066565498866,15,1,4
2010-01-19,6.31,6.4,6.2165,6.38,174607220,1.1094,-0.4696,-0.7214,0.01684307523437954,53.230635880641344,0.02955543710112641,-0.03944409225294759,19,1,1
2010-01-20,6.36,6.46,6.25,6.29,178523980,-1.1006,-0.4115,-0.7089,0.016624778726783026,48.63064199021063,0.03022175736052038,-0.10083080075692248,20,1,2
2010-01-21,6.36,6.41,6.25,6.33,191971800,-0.4717,-0.6808,-0.6599,0.016578974583448466,49.95596555342444,0.029691188212251765,-0.13853923313830066,21,1,3
2010-01-22,6.28,6.3835,6.038,6.07,229497020,-3.3439,-1.071,-0.7737,0.020193885778515434,44.330733244022284,0.03281699079767236,-0.1750011611133098,22,1,4
2010-01-25,6.1,6.11,5.91,6.0185,234501800,-1.3361,-1.0286,-0.7432,0.016253564742797023,48.68105408564236,0.03310730893844368,-0.2172817989826959,25,1,0
2010-01-26,6.03,6.149,5.95,5.974,189864180,-0.9287,-1.4362,-0.8738,0.015518716521614706,49.54267311848021,0.03335085854175597,-0.2396708830492858,26,1,1
2010-01-27,6.052,6.17,5.94,6.14,292650100,1.4541,-0.9253,-0.6426,0.0184552765578739,54.36831724364215,0.03280705416554039,-0.14754765723889426,27,1,2
2010-01-28,6.2215,6.36,6.14,6.28,543298280,0.9403,-0.6429,-0.4672,0.019731696006448977,53.18710325387503,0.03228684103154498,-0.07583090395704378,28,1,3
2010-01-29,6.49,6.5925,6.207,6.26,587012063,-3.5439,-0.6829,-0.8844,0.019380535208558855,44.167954754547516,0.034475099290453365,-0.15569441473617182,29,1,4
2010-02-01,6.1605,6.243,5.69,5.95,747859520,-3.4169,-1.099,-1.0068,0.02481887512734835,44.45523500016012,0.04052321224798432,-0.12876934089257536,1,2,0
2010-02-02,5.94,5.95,5.7,5.9,450835600,-0.6734,-1.048,-0.9555,0.024579635894360942,50.39334326692327,0.04097421873343326,-0.0571015667487468,2,2,1
2010-02-03,5.86,5.98,5.83,5.96,243844860,1.7065,-0.9975,-0.8961,0.025076137821403333,54.89778785895003,0.03946215935827339,-0.040899734053363855,3,2,2
2010-02-04,5.93,6.02,5.79,5.8,254258120,-2.1922,-1.624,-0.9532,0.025572242860521534,47.31775310376741,0.04048679934826382,-0.06502132863184187,4,2,3
2010-02-05,5.8,5.88,5.705,5.87,218875440,1.2069,-0.6738,-0.7564,0.023387179601349475,53.363760610122824,0.03927603639400209,-0.01952068118426531,5,2,4
2010-02-08,5.99,6.05,5.83,5.84,196757600,-2.5042,-0.4913,-1.0146,0.02332833853959225,47.01918099219388,0.03934875657077176,-0.08316204439584673,8,2,0
2010-02-09,5.91,5.9545,5.85,5.9,183473400,-0.1692,-0.3904,-0.948,0.02362299957181841,50.96915900455819,0.0375527554340556,-0.07438664501969691,9,2,1
2010-02-10,5.9,5.93,5.8,5.87,122564060,-0.5085,-0.8334,-0.9507,0.021371078570106384,50.381361727013164,0.036630522533366565,-0.061802573078144685,10,2,2
2010-02-11,5.86,6.021,5.82,6.0,163267232,2.3891,0.0828,-0.5412,0.02128181337884166,55.13936539081346,0.03566994255382384,-0.06569402028802894,11,2,3
2010-02-12,5.95,6.0,5.88,5.98,156801560,0.5042,-0.0577,-0.4097,0.02128079810245711,51.66848069153953,0.03466621499281246,-0.030569278701462345,12,2,4
2010-02-16,6.0,6.03,5.859,5.88,177973280,-2.0,0.0431,-0.4862,0.014817816081217966,47.39955975337176,0.034814766199480575,-0.01042281540003407,16,2,1
2010-02-17,5.853,5.86,5.7785,5.815,177169820,-0.6492,-0.0529,-0.6365,0.014986684330141272,49.808517423128485,0.033936134729004974,-0.038395533881745,17,2,2
2010-02-18,5.7919,5.9255,5.74,5.9,191223420,1.8664,0.4221,-0.5703,0.015421616213726501,54.0307524306686,0.03330389957432362,0.006556903178361825,18,2,3
2010-02-19,5.9,5.95,5.85,5.88,140764960,-0.339,-0.1235,-0.3414,0.01248516654536657,50.05524612412476,0.03224500847121747,-0.0036148921652632737,19,2,4
2010-02-22,5.8685,5.95,5.81,5.9,134824920,0.5368,-0.117,-0.059,0.011956822495542637,51.57890685589278,0.03153521122929617,0.03802192975713122,22,2,0
2010-02-23,5.9,5.96,5.828,5.86,141059680,-0.678,0.1474,-0.0593,0.012056090905158181,49.330878559426644,0.031091549259958755,0.02126608183589095,23,2,1
2010-02-24,5.9,5.99,5.859,5.9845,147477000,1.4322,0.5637,-0.0789,0.013443647885503864,53.15064472344667,0.029833668197888095,0.07438882877210169,24,2,2
2010-02-25,5.91,5.92,5.79,5.91,190431180,0.0,0.1904,0.0777,0.014036195802540648,50.37494354489657,0.03040264243767702,0.06518753815881846,25,2,3
2010-02-26,5.9,5.9705,5.85,5.92,112408500,0.339,0.326,0.0157,0.011938564014314763,51.026876135717664,0.02963724684467575,0.04368604847283883,26,2,4
2010-03-01,5.93,6.23,5.88,6.22,262794740,4.8904,1.1967,0.5439,0.01994008523203539,58.84426976913711,0.030212247555882477,0.19942707706984777,1,3,0
2010-03-02,6.25,6.37,6.24,6.28,234728960,0.48,1.4283,0.5902,0.018582953733197582,50.44170964117203,0.02949229228126316,0.21395467022599526,2,3,1
2010-03-03,6.27,6.347,6.2215,6.296,127965880,0.4147,1.2248,0.6562,0.01761431209468897,50.32712419745238,0.028739911302440607,0.16436630241686195,3,3,2
2010-03-04,6.285,6.44,6.279,6.43,147316100,2.3071,1.6862,0.6503,0.01800290337196127,53.61560980777451,0.027919398581228168,0.15462012170183173,4,3,3
2010-03-05,6.45,6.4725,6.35,6.44,134334680,-0.155,1.5874,0.6032,0.017701917328565873,49.06446032562152,0.027243595024454996,0.24793556718241433,5,3,4
2010-03-08,6.42,6.54,6.386,6.51,111972440,1.4019,0.8897,0.8462,0.01759150985308534,51.84791807411335,0.026715314630758966,0.21752087490445485,8,3,0
2010-03-09,6.48,6.5405,6.3985,6.44,120613580,-0.6173,0.6703,0.8485,0.0180524340900406,48.17124594396624,0.02665169783940917,0.2632307856158561,9,3,1
2010-03-10,6.46,6.56,6.42,6.53,112064940,1.0836,0.8041,0.7926,0.017680521708525465,51.30382850593901,0.02593830828172539,0.2924270142795653,10,3,2
2010-03-11,6.52,6.68,6.52,6.68,142997840,2.454,0.8334,0.9921,0.01644286801399119,53.730334504781744,0.025255592280107667,0.3332155907622287,11,3,3
2010-03-12,6.71,6.71,6.56,6.59,121417540,-1.7884,0.5068,0.826,0.018150142233130523,46.07595721708068,0.025397741530506716,0.2722834889875268,12,3,4
2010-03-15,6.58,6.6,6.43,6.56,125923200,-0.304,0.1656,0.8527,0.012509120962030058,48.8231424939645,0.025542514339269497,0.2626412562106059,15,3,0
2010-03-16,6.56,6.6145,6.53,6.59,82134580,0.4573,0.3805,0.7831,0.012418806310292834,50.22375250543011,0.024525965996671388,0.3281691703688743,16,3,1
2010-03-17,6.61,6.635,6.56,6.57,82143417,-0.6051,0.0428,0.7399,0.01265568932369497,48.23964749937794,0.023658833517447686,0.3244772255961166,17,3,2
2010-03-18,6.55,6.64,6.52,6.63,100266480,1.2214,-0.2038,0.8029,0.011393312721362805,51.7675086785309,0.02306292793282921,0.3152543257443838,18,3,3
2010-03-19,6.68,6.69,6.48,6.52,153638700,-2.3952,-0.3251,0.2825,0.013014264967618963,45.19844805470534,0.024077495163568687,0.2998723164809442,19,3,4
2010-03-22,6.506,6.55,6.43,6.52,106992420,0.2152,-0.2213,0.2636,0.012571883511211234,50.118573088426885,0.023672310364418074,0.30832599172986547,22,3,0
2010-03-23,6.54,6.55,6.4,6.46,83679160,-1.2232,-0.5574,0.1466,0.012429085976418317,47.58346410276104,0.023844151111102118,0.3355807006382492,23,3,1
2010-03-24,6.435,6.47,6.36,6.4,90539780,-0.5439,-0.5451,-0.057,0.011763066891840875,48.898088553327156,0.023576247882928072,0.2823811169262927,24,3,2
2010-03-25,6.47,6.8455,6.459,6.74,322866300,4.1731,0.0452,0.2521,0.01955412771581412,56.96870566551655,0.025509154555527935,0.26368126776755624,25,3,3
2010-03-26,6.7448,6.85,6.688,6.75,129152200,0.0771,0.5397,0.1575,0.018885390208123538,49.63775223169685,0.02536626584291384,0.24474454516586763,26,3,4
2010-03-29,6.7685,6.83,6.717,6.76,91260100,-0.1256,0.4715,0.1926,0.018733952239288212,49.299651243890175,0.024713544248897823,0.15794038014961825,29,3,0
2010-03-30,6.79,6.91,6.77,6.83,122491740,0.5891,0.834,0.1573,0.018874414935696412,50.57788526972341,0.02428180577905397,0.19400276817135487,30,3,1
2010-03-31,6.8,6.84,6.72,6.79,91347360,-0.1471,0.9133,-0.0285,0.019005634769453272,49.20182531516486,0.023942578741028845,0.19334244326131433,31,3,2
2010-04-01,6.79,6.83,6.56,6.59,173942600,-2.9455,-0.5104,-0.1112,0.021517359877333758,44.27125470689907,0.025833637822139786,0.08555184310651749,1,4,3
2010-04-05,6.64,6.69,6.54,6.57,111450700,-1.0542,-0.7367,-0.1648,0.02080098366969268,48.059657032456236,0.02569219126139069,0.03388727790178843,5,4,0
