Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2010-01-04,9.0585,9.1578,9.0203,9.1272,24269241,0.7584,-0.231,0.2174,0.016242112281446897,51.60707859645831,0.02134470322518619,0.02484814658345675,4,1,0
2010-01-05,9.0776,9.1272,8.9745,9.0318,27851864,-0.5045,-0.3319,0.1971,0.016553908028450942,48.927754637288885,0.02123707249148209,0.013397380054056392,5,1,1
2010-01-06,9.0356,9.089,8.9516,8.9745,28422875,-0.6762,-0.3162,0.1392,0.016753786351703173,48.55863391385935,0.02093962168422741,0.04182970589795024,6,1,2
2010-01-07,8.9707,8.9707,8.8484,8.8714,27336284,-1.1069,-0.673,-0.0314,0.017351913692516735,47.58877857529416,0.020685205527765683,0.06120701362213756,7,1,3
2010-01-08,8.8675,9.0279,8.8217,8.9783,32918111,1.2495,-0.0559,0.0232,0.009802332030447702,53.10709345782527,0.020619458027746795,0.01446389015823086,8,1,4
2010-01-11,9.0165,9.0699,8.879,8.9516,19640814,-0.7198,-0.3516,0.0621,0.009797112242774686,48.51021571592348,0.020727019592161892,0.05740916201704031,11,1,0
2010-01-12,8.9325,8.9516,8.7682,8.8523,26572525,-0.8978,-0.4302,-0.024,0.010207256763754814,48.104900835175066,0.020942255939582703,0.049306605197215254,12,1,1
2010-01-13,8.8905,9.0241,8.8255,9.0088,26536282,1.3306,-0.0289,0.0428,0.01175909931887758,53.358856059710824,0.020683210696379288,0.09288713709564814,13,1,2
2010-01-14,8.9745,8.9745,8.7262,8.7377,46568334,-2.6386,-0.3352,-0.4308,0.014876862690288439,44.68158593968154,0.022111914142002413,0.01921527678415405,14,1,3
2010-01-15,8.7797,8.8064,8.4475,8.5735,70588077,-2.3486,-1.0548,-0.5334,0.015518837992969266,45.38046861537748,0.023915841493151395,-0.045512846161084426,15,1,4
2010-01-19,8.5429,8.9325,8.5086,8.8828,52666775,3.9787,-0.1151,-0.2492,0.019276293224630356,57.882980944577945,0.02484297158183661,0.0064083804075570705,19,1,1
2010-01-20,8.7988,8.8561,8.4704,8.478,101070645,-3.646,-0.6648,-0.4557,0.023763992625008765,44.626431410717,0.027644465705968364,-0.14681288897355438,20,1,2
2010-01-21,9.1329,9.3793,9.0336,9.2169,170177233,0.9198,-0.7469,-0.4384,0.03705008801157206,51.75226028977066,0.03059680077836519,-0.1199307991275042,21,1,3
2010-01-22,9.1558,9.236,8.9763,9.0107,60658970,-1.5848,-0.5362,-0.4204,0.03768224507883706,48.0959146762247,0.031120140422128958,-0.16840958285301227,22,1,4
2010-01-25,9.0623,9.1234,8.921,9.0508,45531740,-0.1269,-0.0918,-0.4837,0.03752571892425936,50.2971829067028,0.030366575653310888,-0.19553727238712057,25,1,0
2010-01-26,8.9859,9.3029,8.963,9.1921,59552551,2.2947,-0.4286,-0.2837,0.03777257169446844,53.80191445297404,0.0304053281622171,-0.15553493286796635,26,1,1
2010-01-27,9.131,9.2609,9.0241,9.1463,50991114,0.1676,0.3341,-0.2235,0.0375720990748742,50.43758716158361,0.03022420167561047,-0.14776024738713744,27,1,2
2010-01-28,9.1846,9.196,8.8141,8.9134,52957218,-2.9528,-0.4404,-0.3553,0.03823694995796202,45.90289670845656,0.031859054947873576,-0.157418496532358,28,1,3
2010-01-29,8.9745,9.1654,8.7339,8.7912,58327777,-2.0425,-0.532,-0.5905,0.03715306410544363,47.388932983085624,0.033500566352398606,-0.19800659672985393,29,1,4
2010-02-01,8.8064,8.9286,8.7453,8.8484,27042475,0.4769,-0.4112,-0.505,0.03652918855928249,51.37048677928546,0.03238626132507963,-0.17912195578775067,1,2,0
2010-02-02,8.8026,8.9095,8.753,8.8103,30774091,0.0875,-0.8527,-0.4346,0.034744939916974665,50.731434880409516,0.03147181408785212,-0.19933603419979784,2,2,1
2010-02-03,8.7702,8.9019,8.7377,8.8675,35868976,1.1094,-0.6643,-0.4504,0.030797236680272996,52.40477032663519,0.03035796534340203,-0.17064326450752573,3,2,2
2010-02-04,8.7644,8.8943,8.5544,8.5697,49979246,-2.2215,-0.518,-0.4206,0.016302240393203583,46.8225607538022,0.03200220669396685,-0.19249605510082723,4,2,3
2010-02-05,8.562,8.7033,8.4933,8.6728,40464582,1.2941,0.1493,-0.1604,0.016353509100189637,52.56571190987917,0.0310926199412345,-0.1468895368983453,5,2,4
2010-02-08,8.6575,8.7644,8.5735,8.5888,20761703,-0.7935,-0.1048,-0.5013,0.016171008284399324,49.1698192500146,0.03074170485268524,-0.18156993025652654,8,2,0
2010-02-09,8.6957,8.7453,8.4933,8.5468,30940513,-1.7123,-0.4648,-0.3632,0.014461740269812074,47.70895556067424,0.030792198001454683,-0.19201341305120667,9,2,1
2010-02-10,8.5238,8.5506,8.3062,8.3825,40358238,-1.6577,-1.0182,-0.5473,0.014920030590318285,47.80819167863732,0.031235753503683916,-0.2016323765522709,10,2,2
2010-02-11,8.3291,8.4742,8.226,8.4475,32330001,1.4215,-0.2896,-0.3325,0.014414684363755492,53.20204647400075,0.030880126399866353,-0.19783246615800051,11,2,3
2010-02-12,8.3062,8.4207,8.2145,8.31,43436032,0.0457,-0.5393,-0.3202,0.014606456599401262,50.68175570853865,0.031151609772368263,-0.16206331590855483,12,2,4
2010-02-16,8.3978,8.604,8.3978,8.604,37518163,2.4554,0.1105,-0.3087,0.0192217591773812,54.727078545417235,0.030378797267956288,-0.11099426209974803,16,2,1
2010-02-17,8.6002,8.6881,8.5429,8.6613,29169924,0.7104,0.5951,-0.27,0.019436739144093933,51.436771571387915,0.029219708292020224,-0.13508578828269055,17,2,2
2010-02-18,8.7262,8.7415,8.6002,8.7186,22160900,-0.0871,0.9092,-0.0653,0.019442499884773527,49.958469379955964,0.028111890282071606,-0.02709255728360839,18,2,3
2010-02-19,8.7377,8.9707,8.5773,8.9401,51533574,2.3164,1.0882,0.2461,0.017366061866255254,54.22806648178705,0.02860028927426911,0.00949377854153839,19,2,4
2010-02-22,8.9439,8.9745,8.8103,8.8905,34402022,-0.5971,0.9596,0.1694,0.017383715168116737,48.79339917063294,0.028024800146477485,0.064955575739071,22,2,0
2010-02-23,8.8408,8.8599,8.6651,8.7415,26511298,-1.1232,0.2439,0.0829,0.018077253361215857,47.86064888907348,0.028308383769779243,0.04257316197764512,23,2,1
2010-02-24,8.8179,8.9325,8.7453,8.8828,26062473,0.736,0.249,0.0562,0.01842867664396135,51.39665469332523,0.0274040889407927,0.033029675847082884,24,2,2
2010-02-25,8.795,8.795,8.6193,8.7835,40178866,-0.1308,0.2403,0.2056,0.01743711319264039,49.704196762033305,0.027877152259208036,0.0790625833655523,25,2,3
2010-02-26,8.7912,8.8026,8.6384,8.7912,38949632,0.0,-0.223,0.1131,0.017438429758606214,49.97191038641104,0.027197380572892685,0.16286424156678658,26,2,4
2010-03-01,8.8332,9.1387,8.7682,9.1272,49107616,3.3284,0.5621,0.4075,0.018719023956793594,56.340329432210126,0.027224504441992724,0.29062549883239014,1,3,0
2010-03-02,9.1349,9.2112,9.089,9.1578,38020157,0.2507,0.8369,0.5478,0.016488224524720027,50.001925703173825,0.026148556111873618,0.28815176283752486,2,3,1
2010-03-03,9.005,9.1425,8.9172,8.9745,37866968,-0.3387,0.6219,0.642,0.01848248693477341,48.86807907047773,0.02669167572484827,0.27104866070783773,3,3,2
