Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2020-01-02,66.913,68.239,66.913,68.219,15429021,1.9518,0.3361,-0.0219,0.009933684866991793,58.680858077683936,0.011584845636048807,-0.10473716815168146,2,1,3
2020-01-03,67.228,68.457,67.112,67.808,14504224,0.8627,0.2975,0.0166,0.010156755746112672,53.275753659352915,0.012239375039810908,-0.13075562257469148,3,1,4
2020-01-06,67.38,69.654,67.335,69.519,21361656,3.1745,1.1021,0.2439,0.012770878346739428,61.402767249608544,0.013468114631656175,-0.10478557228613611,6,1,0
2020-01-07,69.726,69.978,69.349,69.496,17239044,-0.3299,1.231,0.1958,0.012523859858250021,47.8234562099653,0.013156736866680268,-0.14933402595688833,7,1,1
2020-01-08,69.433,70.406,69.372,70.044,16737067,0.88,1.3078,0.304,0.012540071899214307,51.78776558952148,0.013175827855887074,-0.1086183774735828,8,1,2
2020-01-09,70.854,71.192,70.341,70.821,18637860,-0.0466,0.9081,0.3253,0.012371835882963984,48.733893487839765,0.013258315151065767,-0.11080785124051626,9,1,3
2020-01-10,71.203,71.571,70.744,71.311,19651976,0.1517,0.7659,0.313,0.012148677175944698,49.421288746134856,0.013055061416168183,-0.07182827612816184,10,1,4
2020-01-13,71.631,71.85,71.126,71.804,17419741,0.2415,0.1793,0.4051,0.011439433362944935,49.74987669704382,0.012759539162590218,-0.03536661381787245,13,1,0
2020-01-14,71.774,71.913,71.244,71.39,18398041,-0.535,0.1383,0.408,0.01069571432521494,46.91185144787377,0.012586213905907348,-0.060050734350321947,14,1,1
2020-01-15,71.335,71.893,71.335,71.784,15092123,0.6294,0.0882,0.4792,0.010435728324515916,51.389969704131914,0.012178288376693016,-0.0504783905814109,15,1,2
2020-01-16,72.195,72.422,71.87,72.419,14067842,0.3103,0.1596,0.4259,0.008946579647480603,50.141705908277075,0.011838528254052212,0.028537574527672523,16,1,3
2020-01-17,72.966,73.883,72.732,73.858,27315576,1.2225,0.3737,0.5739,0.008803575326964507,53.610627309711845,0.012194584694561273,0.14723582728460227,17,1,4
2020-01-21,73.775,74.41,73.38,74.068,27414739,0.3972,0.4049,0.6719,0.006776192396906896,50.2071043848929,0.012284733789820345,0.14091571474788242,21,1,1
2020-01-22,74.334,74.977,74.065,74.082,20384933,-0.339,0.4441,0.6122,0.006721108266001563,47.32107314688254,0.012284431547356194,0.2246345995658475,22,1,2
2020-01-23,74.2,74.593,73.923,74.123,14350040,-0.1038,0.2974,0.4654,0.006937471952619164,48.34270332999574,0.012046307539578173,0.22332034398054817,23,1,3
2020-01-24,74.497,74.592,73.083,73.156,21583306,-1.8001,-0.1246,0.2752,0.00881318725255276,42.014175815196786,0.012807083394028794,0.16334294418042572,24,1,4
2020-01-27,71.411,71.727,70.886,71.519,20380430,0.1512,-0.3389,0.0592,0.011869891842798633,50.105674404005015,0.014431624469478068,0.16826711329436206,27,1,0
2020-01-28,71.973,72.622,71.448,72.452,17357108,0.6655,-0.2852,0.1303,0.012388839924598034,52.00660290815126,0.014385642075959488,0.22480290564022434,28,1,1
2020-01-29,72.761,73.092,72.16,72.758,12052052,-0.0041,-0.2183,0.0672,0.012191619880192284,49.369327751251866,0.014216886327606999,0.2565808477262398,29,1,2
2020-01-30,71.822,72.685,71.644,72.611,15873894,1.0985,0.0222,0.149,0.0121765965330668,53.54667862444888,0.014323979641526548,0.2680598973965968,30,1,3
2020-01-31,73.265,73.326,71.252,71.524,28167593,-2.3763,-0.093,-0.0316,0.01283236152195722,41.832800340154336,0.015574213165971755,0.1644652496419838,31,1,4
