Date,Open,High,Low,Close,Volume,growth,sma_5,sma_14,volatility,rsi,atr_rel,cmf,day,month,day_of_week
2020-01-02,103.086,103.788,102.91,103.437,3295837,0.3405,-0.0371,-0.0535,0.008458468398697645,51.969456216871784,0.011224950427477535,-0.19257170672822385,2,1,3
2020-01-03,101.994,102.979,101.986,102.566,2472356,0.5608,0.0856,-0.1005,0.008950223472586496,52.934679160629656,0.011522181930081893,-0.14007214282555655,3,1,4
2020-01-06,101.879,102.505,101.711,102.383,2591858,0.4947,0.143,-0.0376,0.008960968404047438,52.59316314853904,0.01131479239294061,-0.08091387575659438,6,1,0
2020-01-07,102.085,103.055,101.864,102.437,2714902,0.3448,0.5729,0.0304,0.00848404487273372,51.777341195797725,0.011331529946882824,-0.07468703389931974,7,1,1
2020-01-08,102.712,103.742,102.261,103.315,4720578,0.5871,0.4656,0.075,0.009018212635625163,53.045233158428985,0.011456629262238836,-0.04487808278438719,8,1,2
2020-01-09,103.651,104.453,103.322,104.407,4004499,0.7294,0.5434,0.1324,0.009464643896773643,53.813274224739665,0.011305578497724341,0.03373191175389095,9,1,3
2020-01-10,104.613,105.277,104.086,104.338,3483549,-0.2629,0.3786,0.1098,0.009471386946357373,47.926187776732434,0.011320324292720892,0.054556218630035486,10,1,4
2020-01-13,103.513,104.338,103.139,104.323,3907884,0.7825,0.4362,0.1721,0.009466125591950666,53.67585366502598,0.011334180483896072,0.0772532240042538,13,1,0
2020-01-14,104.064,104.72,103.506,103.682,3483866,-0.3671,0.2938,0.1574,0.007068576105567978,47.46886406341585,0.011426011567016293,0.06721054750755542,14,1,1
2020-01-15,103.853,105.422,103.632,104.357,4426601,0.4853,0.2734,0.2264,0.00679065110699933,51.909477068217065,0.011766431238638228,0.08349097372022375,15,1,2
2020-01-16,104.857,105.522,104.621,105.384,4618355,0.5026,0.2281,0.266,0.006667047108144854,51.998166384537164,0.011609124075501711,0.11554070800778699,16,1,3
2020-01-17,104.338,105.629,103.972,105.59,6103566,1.1999,0.5206,0.3369,0.0056045069998026395,55.55598147524945,0.011879782386349323,0.1996468895950923,17,1,4
2020-01-21,105.323,106.407,105.071,106.209,7561332,0.8412,0.5324,0.5259,0.005410907646084632,53.36480737156847,0.011865433039889087,0.24411080658602907,21,1,1
2020-01-22,109.279,111.325,108.851,109.912,17733046,0.5793,0.7217,0.487,0.010935531049047027,51.75961923945468,0.013971440210958728,0.19526528457436512,22,1,2
2020-01-23,110.187,110.271,108.546,109.088,4991698,-0.9974,0.4251,0.3914,0.011834477748448322,43.312925219826106,0.0142009702350852,0.1715700795673655,23,1,3
2020-01-24,109.492,109.897,107.255,107.331,5575194,-1.9737,-0.0701,0.2104,0.013469896515839207,39.062127070151966,0.015160724922412694,0.11274349170557621,24,1,4
2020-01-27,105.759,106.957,105.454,105.824,4377880,0.0615,-0.2978,0.1795,0.014486555892965691,50.06417815579652,0.015545221288188213,0.09215920917556687,27,1,0
2020-01-28,106.522,107.263,105.949,106.56,3474026,0.0357,-0.4589,0.1574,0.014574499935292815,49.94108281469984,0.015299728837419556,0.09128494645042916,28,1,1
2020-01-29,106.27,106.583,105.067,105.147,3258957,-1.0567,-0.7861,0.04,0.015192381363648836,44.90642794672584,0.015427658668272967,0.10037669333945325,29,1,2
2020-01-30,104.43,104.59,103.063,104.445,5473822,0.0144,-0.5838,-0.0111,0.01527399822351935,50.206893133290784,0.01584718979771149,0.10882177670762291,30,1,3
2020-01-31,109.118,109.996,107.507,109.729,21489010,0.5599,-0.077,0.0477,0.021797828308513123,52.70263366778394,0.01762008259275494,0.23107684667809836,31,1,4
2020-02-03,110.149,112.463,109.882,111.676,9070466,1.3863,0.1879,0.0908,0.022188706763700747,56.27792327506474,0.017824933965006732,0.24406599021850806,3,2,0
2020-02-04,112.845,114.066,112.157,113.868,5911268,0.9066,0.3621,0.1818,0.02261734789573032,53.73856250350986,0.017732327426236143,0.2605204355436818,4,2,1
2020-02-05,114.7,120.221,114.654,119.389,15662746,4.0881,1.3911,0.4391,0.02465752986823324,65.01388465859034,0.01950519524520598,0.31586082485458894,5,2,2
2020-02-06,119.747,121.221,118.678,119.717,9156094,-0.0251,1.3832,0.4014,0.024134898205136816,48.54152447256693,0.019579612644038298,0.28056851610787575,6,2,3
2020-02-07,119.246,120.01,117.989,118.351,6768981,-0.7505,1.1211,0.2621,0.023616551326246186,46.312913698109725,0.019610651083751072,0.2205224168962931,7,2,4
2020-02-10,118.012,119.162,116.955,119.154,5778586,0.9677,1.0374,0.2712,0.022143920647703045,51.94118146784082,0.01941018835370871,0.2691706099847277,10,2,0
