category,label,metric,t_statistic,p_value,significant,cohens_d,mlp_mean,mlp_iqr,mlp_q1,mlp_q3,tft_mean,tft_iqr,tft_q1,tft_q3
start_date,1,total_return,-22.5443,5.9875e-69,True,-2.3764,-0.0515,0.0371,-0.0698,-0.0327,0.0097,0.0307,-0.006,0.0248
start_date,2,total_return,-16.8483,4.9198e-46,True,-1.776,-0.0587,0.0475,-0.0836,-0.0361,-0.0095,0.0317,-0.0276,0.0041
start_date,3,total_return,-16.1032,1.7128e-43,True,-1.6974,-0.0351,0.0473,-0.0595,-0.0122,0.0156,0.0348,-0.0025,0.0323
start_date,4,total_return,-5.0898,5.8486e-07,True,-0.5365,-0.037,0.0422,-0.0577,-0.0154,-0.0214,0.0342,-0.0386,-0.0044
hyperparams,1,total_return,-15.9743,6.2502e-46,True,-1.4582,-0.0459,0.0441,-0.0686,-0.0245,-0.0001,0.0332,-0.0163,0.0169
hyperparams,2,total_return,-15.3667,1.7676e-43,True,-1.4028,-0.0433,0.0428,-0.0629,-0.0201,-0.0006,0.0398,-0.0199,0.0198
hyperparams,3,total_return,-15.8092,1.6242e-45,True,-1.4432,-0.0475,0.0436,-0.0687,-0.0252,-0.0035,0.0393,-0.0243,0.015
train_val_ratio,85,total_return,-16.1916,2.5688e-47,True,-1.4781,-0.0453,0.0406,-0.0651,-0.0245,0.0003,0.0438,-0.0209,0.0229
train_val_ratio,90,total_return,-16.0557,2.5543e-46,True,-1.4657,-0.0441,0.0473,-0.0688,-0.0215,0.0016,0.0349,-0.0147,0.0203
train_val_ratio,95,total_return,-14.9894,1.3783e-41,True,-1.3683,-0.0473,0.0452,-0.0685,-0.0233,-0.0061,0.0305,-0.0213,0.0092
start_date,1,sharpe_ratio,-22.2776,4.8888e-68,True,-2.3483,-1.6081,1.1673,-2.2046,-1.0373,0.3345,0.9667,-0.1755,0.7913
start_date,2,sharpe_ratio,-15.8013,1.7643e-42,True,-1.6656,-1.724,1.3928,-2.4312,-1.0384,-0.2911,0.9498,-0.8155,0.1343
start_date,3,sharpe_ratio,-16.5548,1.5027e-45,True,-1.745,-0.9613,1.3776,-1.6695,-0.2919,0.5322,1.057,-0.0399,1.0171
start_date,4,sharpe_ratio,-5.1597,4.1436e-07,True,-0.5439,-0.9174,1.0955,-1.4279,-0.3324,-0.5118,0.8485,-0.9385,-0.09
hyperparams,1,sharpe_ratio,-15.8632,1.3621e-45,True,-1.4481,-1.3074,1.3201,-1.9386,-0.6185,0.0461,1.0758,-0.5243,0.5515
hyperparams,2,sharpe_ratio,-15.6142,1.6112e-44,True,-1.4254,-1.2344,1.3226,-1.8104,-0.4877,0.0453,1.1297,-0.5067,0.623
hyperparams,3,sharpe_ratio,-15.944,4.5136e-46,True,-1.4555,-1.3663,1.4152,-2.0635,-0.6482,-0.0436,1.1315,-0.6183,0.5132
train_val_ratio,85,sharpe_ratio,-15.9797,2.3584e-46,True,-1.4587,-1.2981,1.2359,-1.864,-0.6281,0.0602,1.2622,-0.5511,0.7111
train_val_ratio,90,sharpe_ratio,-16.4134,5.5936e-48,True,-1.4983,-1.2628,1.405,-1.9822,-0.5772,0.1209,1.0637,-0.3767,0.687
train_val_ratio,95,sharpe_ratio,-15.1226,4.7544e-42,True,-1.3805,-1.3472,1.4297,-2.0455,-0.6158,-0.1332,0.8742,-0.5774,0.2968
start_date,1,max_drawdown,15.4668,5.4318e-38,True,1.6303,0.0619,0.031,0.0447,0.0757,0.033,0.012,0.026,0.038
start_date,2,max_drawdown,11.7543,2.4199e-26,True,1.239,0.0694,0.0389,0.0485,0.0874,0.0435,0.0229,0.0316,0.0545
start_date,3,max_drawdown,13.2691,3.3077e-32,True,1.3987,0.0595,0.0324,0.042,0.0745,0.0335,0.0211,0.0226,0.0437
start_date,4,max_drawdown,-2.0853,3.7753e-02,False,-0.2198,0.0596,0.0253,0.0443,0.0695,0.064,0.0268,0.0504,0.0772
hyperparams,1,max_drawdown,11.3757,1.6074e-26,True,1.0385,0.0638,0.035,0.045,0.08,0.0415,0.0254,0.0278,0.0532
hyperparams,2,max_drawdown,8.6263,9.6967e-17,True,0.7875,0.0611,0.0279,0.0456,0.0735,0.0445,0.0269,0.0288,0.0557
hyperparams,3,max_drawdown,9.2371,8.6465e-19,True,0.8432,0.0629,0.0367,0.0428,0.0795,0.0445,0.0286,0.0291,0.0577
train_val_ratio,85,max_drawdown,8.8695,1.4894e-17,True,0.8097,0.0615,0.0313,0.0439,0.0752,0.0437,0.0291,0.0279,0.0569
train_val_ratio,90,max_drawdown,10.4696,3.5000e-23,True,0.9557,0.0624,0.0327,0.045,0.0777,0.0419,0.0285,0.0272,0.0557
train_val_ratio,95,max_drawdown,9.9298,3.9378e-21,True,0.9065,0.0639,0.0341,0.0455,0.0795,0.0449,0.024,0.0307,0.0547
