hyperparams,start_date,train_val_ratio,metric,t_statistic,p_value,significant,cohens_d,mlp_mean,mlp_iqr,mlp_q1,mlp_q3,tft_mean,tft_iqr,tft_q1,tft_q3
1,1,85,total_return,-9.3364,4.5772e-11,True,-2.9524,-0.0572,0.0363,-0.071,-0.0347,0.0158,0.0289,0.0005,0.0294
1,1,90,total_return,-8.9983,1.4261e-10,True,-2.8455,-0.046,0.0348,-0.0631,-0.0283,0.0168,0.0172,0.0087,0.0259
1,1,95,total_return,-6.3109,3.8580e-07,True,-1.9957,-0.0464,0.0245,-0.0586,-0.0342,-0.0023,0.0158,-0.0136,0.0021
1,2,85,total_return,-6.1463,6.8600e-07,True,-1.9436,-0.0594,0.0425,-0.086,-0.0435,-0.0084,0.0202,-0.0209,-0.0007
1,2,90,total_return,-6.0805,7.5941e-07,True,-1.9228,-0.0713,0.0422,-0.0941,-0.0519,-0.0052,0.0304,-0.0265,0.0039
1,2,95,total_return,-6.4058,2.0059e-07,True,-2.0257,-0.0655,0.0355,-0.0839,-0.0483,-0.014,0.0305,-0.0289,0.0016
1,3,85,total_return,-7.1121,4.1849e-08,True,-2.2491,-0.0343,0.041,-0.0594,-0.0184,0.0319,0.0262,0.0199,0.046
1,3,90,total_return,-3.2135,3.2886e-03,False,-1.0162,-0.0139,0.0575,-0.0435,0.014,0.0173,0.028,0.0036,0.0316
1,3,95,total_return,-6.1082,4.3551e-07,True,-1.9316,-0.0408,0.0311,-0.0631,-0.032,0.0048,0.0221,-0.0084,0.0138
1,4,85,total_return,-1.3334,1.9088e-01,False,-0.4217,-0.0397,0.0462,-0.0665,-0.0203,-0.0276,0.0404,-0.0499,-0.0095
1,4,90,total_return,-1.566,1.2672e-01,False,-0.4952,-0.0337,0.0372,-0.0595,-0.0223,-0.0186,0.0365,-0.0386,-0.002
1,4,95,total_return,-3.1542,3.1936e-03,False,-0.9974,-0.0424,0.0515,-0.0654,-0.0139,-0.0123,0.025,-0.026,-0.001
2,1,85,total_return,-8.2094,8.0622e-10,True,-2.596,-0.0473,0.0256,-0.0612,-0.0356,0.0152,0.0257,0.0014,0.0271
2,1,90,total_return,-6.3435,2.0093e-07,True,-2.006,-0.0408,0.0466,-0.0616,-0.015,0.0192,0.0379,0.0016,0.0395
2,1,95,total_return,-5.6134,2.9176e-06,True,-1.7751,-0.0522,0.0553,-0.0744,-0.0191,0.0042,0.0351,-0.0206,0.0146
2,2,85,total_return,-5.2923,6.0818e-06,True,-1.6736,-0.0481,0.0366,-0.0628,-0.0262,-0.0043,0.025,-0.0173,0.0077
2,2,90,total_return,-6.8945,4.6331e-08,True,-2.1802,-0.0563,0.0241,-0.0683,-0.0442,-0.0039,0.0202,-0.0144,0.0057
2,2,95,total_return,-4.7325,5.4786e-05,True,-1.4966,-0.0604,0.0565,-0.0892,-0.0327,-0.0117,0.0255,-0.0218,0.0037
2,3,85,total_return,-5.9179,2.0097e-06,True,-1.8714,-0.0407,0.0363,-0.06,-0.0237,0.0159,0.0264,0.0021,0.0285
2,3,90,total_return,-5.5131,2.7659e-06,True,-1.7434,-0.0302,0.0307,-0.049,-0.0183,0.0155,0.0386,-0.0069,0.0317
2,3,95,total_return,-4.3741,9.1932e-05,True,-1.3832,-0.0318,0.0451,-0.0534,-0.0083,0.0077,0.0324,-0.0119,0.0205
2,4,85,total_return,-2.2286,3.1843e-02,False,-0.7048,-0.0433,0.0319,-0.0563,-0.0244,-0.0212,0.0356,-0.0403,-0.0047
2,4,90,total_return,-1.1659,2.5092e-01,False,-0.3687,-0.0337,0.0371,-0.0511,-0.0141,-0.0237,0.0285,-0.0364,-0.008
2,4,95,total_return,-1.7655,8.6410e-02,False,-0.5583,-0.0349,0.0283,-0.0494,-0.0211,-0.0198,0.031,-0.034,-0.0031
3,1,85,total_return,-6.7676,1.0734e-07,True,-2.1401,-0.0449,0.0299,-0.0613,-0.0313,0.0045,0.0126,-0.0004,0.0122
3,1,90,total_return,-9.7092,5.2636e-11,True,-3.0703,-0.0655,0.0375,-0.082,-0.0445,0.0077,0.027,-0.0056,0.0214
3,1,95,total_return,-9.4476,1.9556e-11,True,-2.9876,-0.0632,0.0382,-0.0827,-0.0446,0.0062,0.0323,-0.0094,0.0229
3,2,85,total_return,-4.1886,1.7218e-04,True,-1.3246,-0.0533,0.0457,-0.0759,-0.0302,-0.0176,0.0358,-0.0331,0.0027
3,2,90,total_return,-7.332,9.0255e-09,True,-2.3186,-0.0638,0.0331,-0.082,-0.0489,-0.0085,0.038,-0.0273,0.0106
3,2,95,total_return,-4.3696,1.2549e-04,True,-1.3818,-0.0499,0.0554,-0.0778,-0.0224,-0.0123,0.0307,-0.0288,0.0019
